,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.21,16.4,1,53.8,1.02,12.0,40.0,3,33.3,2,50.0,1.33,21.4,62.5,5,60.0,3,66.7
PNR Screener,2.5,2.2,0,100.0,2.0,2.0,100.0,1,100.0,0,N/A,3.0,2.4,100.0,0,N/A,1,100.0
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,2.5,2.2,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.5,4.8,100.0,1,100.0,1,100.0
DBL Ball Handler,2.0,1.1,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,2.4,100.0,1,100.0,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.51,20.4,3,75.0,1.04,13.8,50.0,4,50.0,0,N/A,1.79,28.0,87.5,4,100.0,4,75.0
TRANSITION,1.05,21.0,4,66.7,0.75,13.6,33.3,3,33.3,0,N/A,1.21,29.6,77.8,7,100.0,2,0.0
Attacking Closeouts,0.77,8.5,0,16.7,0.89,13.8,20.0,3,33.3,2,0.0,0.0,2.4,0.0,1,0.0,0,N/A
Catch & Shoot,1.42,20.9,0,47.4,1.5,36.7,50.0,0,N/A,18,50.0,0.0,2.4,0.0,0,N/A,1,0.0
Off Ball Screens,0.0,2.2,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,4.8,0.0,1,0.0,0,N/A
Cutting,1.03,4.3,0,33.3,1.39,5.9,50.0,2,50.0,0,N/A,0.0,2.4,0.0,1,0.0,0,N/A
Off. Rebounds,2.08,1.6,0,100.0,2.08,2.9,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.29,91,9.9,56.9,1.22,53.8,46.2,17,47.1,22,45.5,1.37,46.2,69.7,21,76.2,12,58.3
