,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.23,25.7,7,61.5,1.19,16.8,63.6,7,71.4,4,50.0,1.27,47.0,60.0,5,100.0,10,40.0
PNR Screener,0.67,2.1,0,33.3,0.67,3.0,33.3,1,100.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.25,2.8,0,50.0,3.0,1.0,100.0,0,N/A,1,100.0,0.67,7.1,33.3,1,100.0,2,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,2.0,0.7,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,2.0,2.4,100.0,1,100.0,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.17,26.5,4,54.8,1.27,27.6,59.1,15,66.7,7,42.9,0.9,23.8,44.4,5,60.0,4,25.0
TRANSITION,1.11,13.4,1,42.9,1.0,16.1,41.7,9,55.6,3,0.0,1.74,6.9,50.0,0,N/A,2,50.0
Attacking Closeouts,1.13,18.1,4,50.0,0.82,20.8,40.0,8,62.5,7,14.3,2.4,11.9,80.0,0,N/A,5,80.0
Catch & Shoot,1.0,4.2,0,33.3,1.0,6.0,33.3,0,N/A,6,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.67,2.1,0,33.3,0.67,3.0,33.3,3,33.3,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.47,3.4,0,66.7,1.86,3.8,100.0,2,100.0,0,N/A,0.0,2.4,0.0,1,0.0,0,N/A
Off. Rebounds,2.0,1.4,0,100.0,2.0,2.0,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.17,142,11.3,53.1,1.12,70.4,51.9,47,66.0,30,30.0,1.29,29.6,55.6,13,76.9,23,43.5
