,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.67,10.3,0,33.3,0.67,14.3,33.3,2,50.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,2.0,3.4,0,100.0,2.0,4.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,3.4,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,12.5,0.0,0,N/A,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.1,37.5,2,62.5,1.13,42.3,66.7,4,100.0,2,0.0,1.0,25.0,50.0,1,100.0,1,0.0
TRANSITION,1.02,20.3,1,50.0,2.08,13.7,100.0,2,100.0,0,N/A,0.0,37.5,0.0,0,N/A,2,0.0
Attacking Closeouts,0.69,9.9,1,0.0,1.06,9.0,N/A,0,N/A,0,N/A,0.0,12.5,0.0,1,0.0,0,N/A
Catch & Shoot,0.0,3.4,0,0.0,0.0,4.8,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,3.4,0,0.0,0.0,4.8,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.72,9.5,1,N/A,1.14,8.4,N/A,0,N/A,0,N/A,0.0,12.5,N/A,0,N/A,0,N/A
TOTAL,0.88,29,17.2,45.0,1.12,72.4,57.1,10,80.0,4,0.0,0.25,27.6,16.7,2,50.0,4,0.0
