,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.95,18.9,4,52.9,0.82,13.6,44.4,6,50.0,3,33.3,1.1,33.3,62.5,6,66.7,2,50.0
PNR Screener,2.0,6.3,0,85.7,1.83,7.4,83.3,5,80.0,1,100.0,3.0,3.3,100.0,0,N/A,1,100.0
DHO Ball Handler,1.11,8.1,1,50.0,1.17,7.4,50.0,4,50.0,2,50.0,1.0,10.0,50.0,1,0.0,1,100.0
DHO Screener,1.0,6.3,1,50.0,0.0,1.2,0.0,1,0.0,0,N/A,1.17,20.0,60.0,3,66.7,2,50.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.76,32.1,7,42.3,0.7,39.1,37.5,20,45.0,4,0.0,1.25,13.3,100.0,1,100.0,1,100.0
TRANSITION,1.92,9.4,0,90.0,1.75,9.2,85.7,7,85.7,0,N/A,2.33,10.0,100.0,2,100.0,1,100.0
Attacking Closeouts,1.25,3.6,1,66.7,1.0,3.7,50.0,1,0.0,1,100.0,2.0,3.3,100.0,1,100.0,0,N/A
Catch & Shoot,2.0,6.3,0,71.4,2.0,8.6,71.4,1,100.0,6,66.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.8,0,0.0,0.0,2.5,0.0,0,N/A,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.33,2.7,0,66.7,1.33,3.7,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.8,4.5,2,66.7,1.33,3.7,66.7,3,66.7,0,N/A,0.0,6.7,N/A,0,N/A,0,N/A
TOTAL,1.13,111,14.4,57.6,1.07,73.0,52.9,51,56.9,19,42.1,1.27,27.0,72.7,14,71.4,8,75.0
