,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.06,10.2,1,0.0,1.06,12.5,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.0,2.7,0,0.0,0.0,3.3,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,3.0,2.7,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,14.3,100.0,0,N/A,1,100.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.05,51.6,1,40.0,1.06,53.6,38.5,7,71.4,6,0.0,1.0,42.9,50.0,0,N/A,2,50.0
TRANSITION,2.13,5.1,0,100.0,2.13,6.3,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.8,13.5,1,50.0,0.5,13.3,33.3,3,33.3,0,N/A,2.0,14.3,100.0,1,100.0,0,N/A
Catch & Shoot,0.0,2.7,0,0.0,0.0,3.3,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.7,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,14.3,0.0,0,N/A,1,0.0
Cutting,2.0,2.7,0,100.0,2.0,3.3,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.74,7.8,0,50.0,1.06,6.3,0.0,1,0.0,0,N/A,3.0,14.3,100.0,0,N/A,1,100.0
TOTAL,1.12,37,8.1,42.9,1.01,81.1,36.4,14,57.1,8,0.0,1.57,18.9,66.7,1,100.0,5,60.0
