Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,19,1,1,0,0,0,44,4,2,1,0,4,4
shoot2FGM,9,0,0,0,0,0,19,4,1,1,0,3,3
shoot2FTA,8,0,0,0,0,0,17,3,0,0,0,1,5
shoot2FTM,8,0,0,0,0,0,13,2,0,0,0,1,5
shoot2TO,1,0,0,0,0,0,0,0,1,0,0,0,0
shoot3FGA,1,0,0,0,0,0,8,0,0,2,0,0,0
shoot3FGM,0,0,0,0,0,0,1,0,0,2,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,1,0,0,0,0,0
pass2FGA,8,0,0,1,0,0,6,2,0,0,0,0,0
pass2FGM,5,0,0,1,0,0,5,2,0,0,0,0,0
pass2FTA,1,0,0,0,0,0,1,2,0,0,0,2,0
pass2FTM,0,0,0,0,0,0,1,0,0,0,0,1,0
pass2TO,3,0,0,0,0,0,1,1,0,0,0,0,0
pass3FGA,6,0,0,3,0,0,14,2,0,0,0,0,0
pass3FGM,2,0,0,1,0,0,10,2,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,1,0,0,2,0,0,0,0,0,0
