Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,40,0,4,0,4,0,28,8,6,0,1,10,3
shoot2FGM,9,0,0,0,4,0,18,3,4,0,1,2,2
shoot2FTA,0,0,0,4,0,0,20,0,8,0,0,0,0
shoot2FTM,0,0,0,2,0,0,20,0,8,0,0,0,0
shoot2TO,4,0,0,0,0,0,0,0,3,0,0,0,2
shoot3FGA,9,0,0,0,0,0,7,0,4,10,0,0,0
shoot3FGM,2,0,0,0,0,0,1,0,0,8,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,15,0,0,0,0,0,15,2,0,0,0,0,0
pass2FGM,8,0,0,0,0,0,11,0,0,0,0,0,0
pass2FTA,8,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,8,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,19,0,0,0,1,0,21,0,0,0,0,2,4
pass3FGM,16,0,0,0,0,0,8,0,0,0,0,1,4
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,0,0,0,0,0,0,0,0,0,0
