Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,35,11,4,10,0,1,31,9,9,1,3,14,6
shoot2FGM,10,8,1,4,0,1,16,6,6,1,3,9,3
shoot2FTA,0,8,4,0,0,0,8,6,10,0,0,0,0
shoot2FTM,0,8,4,0,0,0,8,6,6,0,0,0,0
shoot2TO,5,2,0,0,0,0,4,1,3,0,2,0,0
shoot3FGA,14,4,7,0,0,2,9,0,11,57,5,0,0
shoot3FGM,6,4,0,0,0,2,3,0,4,26,2,0,0
shoot3FTA,6,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,6,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,13,2,10,3,1,0,6,4,5,0,0,0,3
pass2FGM,10,2,4,2,1,0,6,3,5,0,0,0,0
pass2FTA,10,2,0,4,0,0,0,4,0,0,0,0,0
pass2FTM,8,2,0,4,0,0,0,4,0,0,0,0,0
pass2TO,0,0,0,0,0,0,2,0,0,0,0,2,0
pass3FGA,14,0,4,5,4,0,12,1,7,0,0,3,6
pass3FGM,12,0,0,0,2,0,4,0,2,0,0,1,4
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,2,0,2,0,0,1,0,0,0,0,0,0
