Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,10,0,0,0,0,0,2,2,2,0,0,1,0
shoot2FGM,4,0,0,0,0,0,1,0,1,0,0,1,0
shoot2FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot2FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot2TO,1,0,0,0,0,0,3,0,0,0,0,0,0
shoot3FGA,5,0,1,0,0,0,0,1,0,5,0,0,0
shoot3FGM,1,0,0,0,0,0,0,1,0,2,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,1,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,6,0,0,0,0,0,1,5,0,0,0,0,0
pass2FGM,4,0,0,0,0,0,1,4,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2TO,2,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,1,0,1,0,0,0,1,3,0,0,0,0,1
pass3FGM,0,0,0,0,0,0,1,2,0,0,0,0,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,2,0,0,0,0,0,0,1,1,0,0,0,0
