Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,70,25,10,7,3,3,136,70,58,2,15,56,33
shoot2FGM,33,21,5,3,1,3,73,43,29,2,8,42,25
shoot2FTA,11,12,2,4,0,0,38,39,34,0,0,20,21
shoot2FTM,10,10,2,4,0,0,31,33,27,0,0,16,13
shoot2TO,13,4,2,0,0,0,18,10,10,0,0,5,0
shoot3FGA,29,15,13,3,0,2,38,18,22,215,4,0,0
shoot3FGM,8,7,3,1,0,1,7,4,5,74,1,0,0
shoot3FTA,0,0,0,3,0,0,3,3,0,6,0,0,0
shoot3FTM,0,0,0,3,0,0,3,2,0,5,0,0,0
shoot3TO,2,0,0,0,0,0,2,1,1,2,0,0,0
pass2FGA,33,4,8,12,3,2,30,32,13,1,5,4,8
pass2FGM,26,3,4,5,3,2,23,25,11,1,4,0,7
pass2FTA,15,4,4,2,0,0,21,23,9,0,2,0,2
pass2FTM,10,3,4,2,0,0,16,22,5,0,1,0,2
pass2TO,6,3,2,0,0,0,6,7,0,1,1,0,0
pass3FGA,44,10,6,10,4,0,50,36,34,2,4,10,6
pass3FGM,17,5,2,1,1,0,17,12,12,0,1,3,4
pass3FTA,0,0,3,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,3,0,0,0,3,0,0,0,0,0,0
pass3TO,5,3,0,1,0,0,6,2,1,0,1,0,2
