Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,2,15,0,2,0,0,43,5,1,0,0,4,4
shoot2FGM,1,11,0,1,0,0,18,4,0,0,0,2,2
shoot2FTA,6,1,0,4,0,0,10,0,0,0,0,4,6
shoot2FTM,5,0,0,2,0,0,10,0,0,0,0,2,5
shoot2TO,0,5,0,1,0,0,5,1,0,0,0,0,0
shoot3FGA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FGM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,0,0,0,6,0,0,13,2,0,0,0,1,0
pass2FGM,0,0,0,2,0,0,10,2,0,0,0,0,0
pass2FTA,0,0,0,2,0,0,0,2,0,0,0,0,0
pass2FTM,0,0,0,2,0,0,0,2,0,0,0,0,0
pass2TO,0,2,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,0,3,0,17,0,0,4,4,0,0,0,0,0
pass3FGM,0,3,0,6,0,0,2,2,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,2,0,0,0,0,1,0,0,0,0,0,1
