,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.51,2.5,0,50.0,1.51,3.7,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,1.08,17.2,11,76.2,1.02,20.2,72.2,18,72.2,0,N/A,1.29,11.1,100.0,0,N/A,3,100.0
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.92,18.3,1,35.5,0.46,7.0,16.7,6,16.7,0,N/A,1.08,41.1,40.0,8,50.0,17,35.3
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.03,44.1,8,52.1,0.91,50.3,45.3,53,45.3,0,N/A,1.4,31.7,72.2,14,78.6,4,50.0
TRANSITION,1.48,7.9,1,69.2,1.33,4.8,80.0,5,80.0,0,N/A,1.58,14.1,62.5,3,100.0,5,40.0
Attacking Closeouts,1.0,1.1,0,50.0,1.0,1.6,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,0.5,0,100.0,2.0,0.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.14,4.6,0,57.1,1.29,6.2,66.7,6,66.7,0,N/A,0.0,1.6,0.0,1,0.0,0,N/A
Off. Rebounds,1.27,4.6,1,60.0,1.44,6.1,60.0,5,60.0,0,N/A,0.0,1.6,N/A,0,N/A,0,N/A
TOTAL,1.09,189,11.6,54.2,1.01,66.7,53.1,98,53.1,0,N/A,1.24,33.3,56.4,26,69.2,29,44.8
