,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.05,26.9,6,53.6,1.21,22.4,52.9,17,52.9,0,N/A,0.85,36.5,54.5,6,66.7,5,40.0
PNR Screener,0.0,0.7,0,0.0,0.0,1.0,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,0.7,0,0.0,0.0,1.0,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,1.5,1.4,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.5,4.4,50.0,0,N/A,2,50.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.09,53.3,4,46.2,0.86,56.0,36.2,40,40.0,7,14.3,1.68,47.6,72.2,5,80.0,13,69.2
TRANSITION,1.37,6.2,2,100.0,1.29,4.0,100.0,2,100.0,0,N/A,1.43,10.8,100.0,2,100.0,1,100.0
Attacking Closeouts,1.0,1.4,0,50.0,1.0,2.1,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,2.67,2.1,0,100.0,2.67,3.1,100.0,1,100.0,2,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.5,3.8,0,75.0,1.58,4.6,75.0,4,75.0,0,N/A,1.14,2.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.77,4.4,0,75.0,1.77,6.5,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.17,141,8.5,53.0,1.09,68.1,46.9,72,48.6,9,33.3,1.34,31.9,67.6,13,76.9,21,61.9
