,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.55,6.4,1,30.0,0.55,8.0,30.0,9,33.3,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.67,1.8,0,33.3,0.67,2.2,33.3,1,100.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,1.0,3.5,0,33.3,1.0,4.3,33.3,3,0.0,3,66.7,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.86,4.1,0,28.6,0.0,0.7,0.0,1,0.0,0,N/A,1.0,18.2,33.3,2,0.0,4,50.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.66,18.6,3,32.1,0.65,20.2,30.8,17,47.1,9,0.0,0.75,12.1,50.0,0,N/A,2,50.0
TRANSITION,1.22,13.4,5,76.5,1.27,13.7,73.3,14,78.6,1,0.0,1.0,12.1,100.0,2,100.0,0,N/A
Attacking Closeouts,1.42,18.6,0,60.0,1.36,16.5,61.9,15,73.3,6,33.3,1.56,27.3,55.6,1,100.0,8,50.0
Catch & Shoot,1.85,23.4,0,62.5,1.82,28.3,61.5,1,100.0,38,60.5,3.0,3.0,100.0,0,N/A,1,100.0
Off Ball Screens,1.5,1.2,0,50.0,1.5,1.4,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.67,5.3,2,42.9,1.5,2.9,75.0,4,75.0,0,N/A,0.0,15.2,0.0,2,0.0,1,0.0
Off. Rebounds,0.57,4.1,1,33.3,1.33,2.2,66.7,3,66.7,0,N/A,0.0,12.1,0.0,1,0.0,2,0.0
TOTAL,1.17,171,7.0,50.6,1.23,80.7,52.3,68,58.8,62,45.2,0.91,19.3,42.3,8,37.5,18,44.4
