,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.96,14.1,19,44.6,0.77,11.2,34.8,44,36.4,22,31.8,1.19,20.9,56.4,25,76.0,30,40.0
PNR Screener,1.31,5.2,7,61.9,1.41,5.1,67.7,20,80.0,11,45.5,1.07,5.2,45.5,1,0.0,10,50.0
DHO Ball Handler,0.84,1.8,0,31.6,1.1,1.4,40.0,2,50.0,8,37.5,0.56,2.8,22.2,5,20.0,4,25.0
DHO Screener,0.69,1.2,1,33.3,0.0,0.7,0.0,4,0.0,1,0.0,1.12,2.5,57.1,4,75.0,3,33.3
DBL Ball Handler,1.22,0.9,0,55.6,0.67,0.4,33.3,3,33.3,0,N/A,1.5,1.9,66.7,3,100.0,3,33.3
DBL Screener,2.25,0.4,0,100.0,2.25,0.5,100.0,3,100.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.99,20.9,21,46.7,0.98,20.6,46.3,92,54.3,31,22.6,1.02,21.4,47.4,24,70.8,33,30.3
TRANSITION,1.13,14.8,18,54.2,1.12,12.3,55.1,53,64.2,16,25.0,1.13,20.4,53.1,24,83.3,25,24.0
Attacking Closeouts,0.96,13.0,12,41.8,0.88,12.7,40.0,52,48.1,18,16.7,1.13,13.5,45.0,10,80.0,30,33.3
Catch & Shoot,0.94,16.9,3,32.2,0.95,23.8,32.2,2,100.0,169,31.4,0.5,1.2,33.3,1,100.0,2,0.0
Off Ball Screens,0.84,1.7,1,37.5,0.7,1.4,30.0,7,28.6,3,33.3,1.02,2.5,50.0,3,66.7,3,33.3
Cutting,1.17,4.8,2,57.8,1.45,5.3,75.8,33,75.8,0,N/A,0.25,3.7,8.3,4,0.0,8,12.5
Off. Rebounds,1.56,4.5,2,75.7,1.6,4.7,77.8,27,77.8,0,N/A,1.48,4.0,70.0,5,80.0,5,60.0
TOTAL,1.04,1053,8.2,46.1,1.03,69.5,45.0,342,57.3,280,30.0,1.08,30.5,48.7,109,71.6,156,32.7
