,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.12,11.1,5,63.6,0.67,11.3,42.9,2,50.0,5,40.0,2.5,10.5,100.0,2,100.0,2,100.0
PNR Screener,0.0,0.7,0,0.0,0.0,0.9,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.79,22.1,2,32.1,0.84,17.9,31.6,5,40.0,14,28.6,0.71,33.6,33.3,2,50.0,7,28.6
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.22,6.2,1,50.0,1.22,8.5,50.0,3,33.3,5,60.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,0.4,6.9,1,22.2,0.67,2.8,33.3,1,100.0,2,0.0,0.29,18.4,16.7,6,16.7,0,N/A
Attacking Closeouts,1.48,19.7,1,73.1,1.35,12.6,58.3,3,100.0,9,44.4,1.6,39.5,85.7,13,92.3,1,0.0
Catch & Shoot,1.38,16.7,1,47.8,1.38,22.6,47.8,0,N/A,23,47.8,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.14,9.7,3,63.6,1.14,13.2,63.6,5,100.0,6,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.09,7.6,0,54.5,1.09,10.4,54.5,11,54.5,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.11,144,9.7,50.8,1.09,73.6,47.4,30,63.3,65,40.0,1.16,26.4,60.6,23,69.6,10,40.0
