,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.43,30.4,1,61.5,1.6,26.3,66.7,2,100.0,7,57.1,1.0,50.0,50.0,3,66.7,1,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.25,17.1,0,0.0,0.0,10.5,0.0,0,N/A,4,0.0,0.52,48.5,0.0,2,0.0,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,4.3,0,0.0,0.0,5.3,0.0,1,0.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,2.07,14.7,0,100.0,2.07,17.8,100.0,4,100.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.0,8.7,1,66.7,1.0,10.5,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.65,17.1,0,57.1,1.71,18.4,57.1,0,N/A,7,57.1,1.14,11.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,10.9,0,0.0,0.0,13.2,0.0,0,N/A,5,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.12,46,4.3,45.2,1.19,82.6,48.6,10,80.0,25,36.0,0.8,17.4,28.6,5,40.0,2,0.0
