,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.15,21.4,11,54.7,1.26,20.7,54.1,42,59.5,19,42.1,0.93,22.9,56.0,16,68.8,9,33.3
PNR Screener,0.91,5.8,7,57.1,0.93,5.6,52.9,14,64.3,3,0.0,0.89,6.2,75.0,1,100.0,3,66.7
DHO Ball Handler,0.71,4.6,2,22.2,0.83,4.9,26.7,1,0.0,14,28.6,0.35,3.9,0.0,1,0.0,2,0.0
DHO Screener,0.92,4.2,1,29.4,0.53,1.1,0.0,0,N/A,1,0.0,1.01,11.6,31.2,1,0.0,15,33.3
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.03,28.7,11,47.1,0.86,29.3,38.4,74,43.2,12,8.3,1.45,27.3,69.7,16,81.2,17,58.8
TRANSITION,1.5,11.3,6,75.6,1.43,9.1,72.0,16,81.2,9,55.6,1.59,16.4,80.0,11,90.9,9,66.7
Attacking Closeouts,1.32,5.2,3,66.7,1.28,5.4,62.5,14,71.4,2,0.0,1.43,4.8,80.0,3,66.7,2,100.0
Catch & Shoot,1.82,10.0,1,63.8,1.78,13.3,62.2,2,100.0,43,60.5,2.43,2.0,100.0,0,N/A,2,100.0
Off Ball Screens,0.62,1.6,1,28.6,0.71,2.0,28.6,1,100.0,6,16.7,0.0,0.7,N/A,0,N/A,0,N/A
Cutting,1.45,4.8,2,77.8,1.5,5.4,80.0,15,80.0,0,N/A,1.23,3.3,66.7,2,50.0,1,100.0
Off. Rebounds,1.68,2.7,0,70.0,1.71,3.2,75.0,8,75.0,0,N/A,1.5,1.4,50.0,0,N/A,2,50.0
TOTAL,1.21,491,9.2,55.0,1.2,70.3,52.4,187,58.8,109,41.3,1.23,29.7,61.9,51,74.5,62,51.6
