,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.46,45.7,1,66.7,1.64,47.0,70.6,11,81.8,6,50.0,0.8,41.7,50.0,3,66.7,1,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.69,5.6,1,0.0,0.69,7.4,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.39,15.2,3,0.0,0.52,14.8,0.0,1,0.0,2,0.0,0.0,16.7,N/A,0,N/A,0,N/A
TRANSITION,1.5,7.8,0,50.0,3.0,2.6,100.0,0,N/A,1,100.0,1.0,25.0,33.3,0,N/A,3,33.3
Attacking Closeouts,1.6,7.4,0,50.0,1.45,7.1,0.0,0,N/A,1,0.0,2.0,8.3,100.0,1,100.0,0,N/A
Catch & Shoot,1.5,15.7,0,50.0,1.5,20.5,50.0,0,N/A,8,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,3.0,2.0,0,100.0,3.0,2.6,100.0,0,N/A,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,3.0,2.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,8.3,100.0,0,N/A,1,100.0
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.33,51,9.8,56.1,1.44,76.5,56.2,12,75.0,20,45.0,1.0,23.5,55.6,4,75.0,5,40.0
