,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.3,42.1,1,50.0,0.29,31.8,16.7,5,20.0,1,0.0,2.33,62.5,83.3,2,50.0,4,100.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,3.0,0,0.0,0.0,4.5,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.58,32.6,0,66.7,1.48,30.7,60.0,4,75.0,1,0.0,1.75,36.4,75.0,2,100.0,2,50.0
TRANSITION,0.0,3.0,0,0.0,0.0,4.5,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.23,7.4,0,50.0,1.23,11.1,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,3.0,6.1,0,100.0,3.0,9.1,100.0,0,N/A,2,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.0,6.1,0,0.0,0.0,9.1,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,3.0,3.0,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,9.1,100.0,0,N/A,1,100.0
TOTAL,1.38,33,3.0,53.3,0.95,66.7,36.8,14,35.7,5,40.0,2.19,33.3,81.8,4,75.0,7,85.7
