,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
PNR Screener,3.0,11.1,0,100.0,3.0,11.1,100.0,0,N/A,1,100.0,N/A,N/A,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
ISOLATION,2.0,11.1,0,100.0,2.0,11.1,100.0,1,100.0,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
TRANSITION,2.0,22.2,0,100.0,2.0,22.2,100.0,2,100.0,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Catch & Shoot,2.0,33.3,0,66.7,2.0,33.3,66.7,0,N/A,3,66.7,N/A,N/A,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Cutting,2.0,11.1,0,100.0,2.0,11.1,100.0,1,100.0,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,11.1,0,0.0,0.0,11.1,0.0,1,0.0,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
TOTAL,1.89,9,0.0,77.8,1.89,100.0,77.8,5,80.0,4,75.0,nan,0.0,nan,0,nan,0,nan
