,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,14.3,0,0.0,0.0,14.3,0.0,0,N/A,1,0.0,N/A,N/A,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
DBL Screener,3.0,14.3,0,100.0,3.0,14.3,100.0,0,N/A,1,100.0,N/A,N/A,N/A,0,N/A,0,N/A
ISOLATION,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
TRANSITION,2.27,12.6,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,2.27,N/A,N/A,0,N/A,0,N/A
Attacking Closeouts,1.5,28.6,0,50.0,1.5,28.6,50.0,0,N/A,2,50.0,N/A,N/A,N/A,0,N/A,0,N/A
Catch & Shoot,0.0,28.6,0,0.0,0.0,28.6,0.0,0,N/A,2,0.0,N/A,N/A,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,14.3,0,0.0,0.0,14.3,0.0,1,0.0,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A
TOTAL,1.02,7,0.0,28.6,0.86,100.0,28.6,1,0.0,6,33.3,2.27,0.0,nan,0,nan,0,nan
