,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.33,16.7,0,66.7,1.33,18.8,66.7,2,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,0.0,16.7,1,0.0,0.0,12.5,0.0,2,0.0,0,N/A,0.0,50.0,N/A,0,N/A,0,N/A
Attacking Closeouts,2.4,27.8,0,100.0,2.4,31.2,100.0,3,100.0,2,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,2.25,22.2,0,75.0,2.25,25.0,75.0,0,N/A,4,75.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.67,16.7,0,33.3,1.0,12.5,50.0,2,50.0,0,N/A,0.0,50.0,0.0,1,0.0,0,N/A
TOTAL,1.5,18,5.6,64.7,1.69,88.9,68.8,9,66.7,7,71.4,0.0,11.1,0.0,1,0.0,0,nan
