,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.8,4.7,1,50.0,0.8,5.6,50.0,4,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.67,2.8,0,33.3,0.67,3.3,33.3,1,100.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,2.8,0,66.7,2.0,3.3,66.7,1,0.0,2,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,2.0,2.8,0,66.7,N/A,0.0,N/A,0,N/A,0,N/A,2.0,17.6,66.7,0,N/A,3,66.7
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.77,19.5,2,38.9,0.89,19.9,41.2,10,70.0,7,0.0,0.0,17.6,0.0,0,N/A,1,0.0
TRANSITION,1.13,14.8,3,66.7,1.09,14.3,60.0,9,66.7,1,0.0,1.33,17.6,100.0,2,100.0,0,N/A
Attacking Closeouts,1.85,16.7,0,82.4,1.7,17.6,80.0,11,90.9,4,50.0,3.0,11.8,100.0,0,N/A,2,100.0
Catch & Shoot,2.0,26.2,0,67.9,1.96,30.0,66.7,1,100.0,26,65.4,3.0,5.9,100.0,0,N/A,1,100.0
Off Ball Screens,1.5,1.9,0,50.0,1.5,2.2,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.8,4.7,1,50.0,2.0,2.2,100.0,2,100.0,0,N/A,0.0,17.6,0.0,1,0.0,1,0.0
Off. Rebounds,0.5,3.7,0,25.0,1.0,2.2,50.0,2,50.0,0,N/A,0.0,11.8,0.0,1,0.0,1,0.0
TOTAL,1.39,107,6.5,60.2,1.45,84.1,61.2,41,73.2,44,50.0,1.12,15.9,53.8,4,50.0,9,55.6
