,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,3.6,0,0.0,0.0,4.8,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,3.0,7.1,0,100.0,3.0,9.5,100.0,0,N/A,2,100.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.67,21.4,0,33.3,0.0,4.8,0.0,0,N/A,1,0.0,0.8,71.4,40.0,4,50.0,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.39,15.4,0,66.7,0.86,11.0,0.0,0,N/A,1,0.0,2.0,28.6,100.0,2,100.0,0,N/A
Catch & Shoot,0.23,46.4,0,7.7,0.23,61.9,7.7,0,N/A,13,7.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.5,7.1,0,50.0,1.5,9.5,50.0,0,N/A,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.78,28,0.0,29.6,0.66,75.0,20.0,1,0.0,19,21.1,1.14,25.0,57.1,6,66.7,1,0.0
