Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,11,4,1,3,0,0,10,2,2,0,1,5,1
shoot2FGM,4,3,0,2,0,0,5,1,2,0,1,3,0
shoot2FTA,0,3,2,0,0,0,4,3,5,0,0,0,0
shoot2FTM,0,3,2,0,0,0,4,3,3,0,0,0,0
shoot2TO,2,0,0,0,0,0,2,0,1,0,1,0,0
shoot3FGA,4,2,2,0,0,1,4,0,4,17,2,0,0
shoot3FGM,1,2,0,0,0,1,1,0,2,9,1,0,0
shoot3FTA,3,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,3,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,5,1,3,0,0,0,2,0,1,0,0,0,1
pass2FGM,4,1,2,0,0,0,2,0,1,0,0,0,0
pass2FTA,4,1,0,2,0,0,0,2,0,0,0,0,0
pass2FTM,3,1,0,2,0,0,0,2,0,0,0,0,0
pass2TO,0,0,0,0,0,0,1,0,0,0,0,1,0
pass3FGA,5,0,1,2,1,0,3,0,2,0,0,0,3
pass3FGM,5,0,0,0,1,0,1,0,1,0,0,0,2
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,1,0,1,0,0,0,0,0,0,0,0,0
