Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,11,0,1,0,0,0,25,6,5,0,1,3,3
shoot2FGM,4,0,0,0,0,0,9,4,5,0,1,2,1
shoot2FTA,2,0,0,0,0,0,2,0,0,0,0,2,2
shoot2FTM,1,0,0,0,0,0,2,0,0,0,0,1,2
shoot2TO,2,2,0,0,0,0,3,0,0,0,0,0,0
shoot3FGA,9,0,3,0,0,0,3,0,2,9,1,0,0
shoot3FGM,4,0,1,0,0,0,0,0,2,7,1,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,1,0,0,1,0,0,0
pass2FGA,1,0,1,1,0,0,4,2,0,0,0,0,2
pass2FGM,1,0,1,0,0,0,3,2,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FGA,2,0,0,4,0,0,2,3,0,0,0,0,0
pass3FGM,2,0,0,1,0,0,2,2,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,1,1,0,0,0,0,1,0,0,0,0,0
