,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.75,18.5,3,30.0,0.52,17.1,21.4,11,27.3,3,0.0,1.27,22.5,50.0,2,0.0,4,75.0
PNR Screener,0.0,2.2,1,0.0,0.0,2.0,0.0,1,0.0,0,N/A,0.0,2.9,0.0,0,N/A,1,0.0
DHO Ball Handler,1.62,5.9,0,62.5,1.57,6.9,57.1,3,33.3,4,75.0,2.0,2.9,100.0,1,100.0,0,N/A
DHO Screener,1.62,5.9,0,62.5,2.0,1.0,100.0,1,100.0,0,N/A,1.57,20.0,57.1,3,33.3,4,75.0
DBL Ball Handler,1.02,3.6,0,25.0,0.75,4.0,25.0,2,0.0,2,50.0,2.27,2.5,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.98,26.4,1,36.7,0.87,28.6,30.4,17,29.4,6,33.3,1.43,20.0,57.1,4,50.0,3,66.7
TRANSITION,1.49,6.9,1,50.0,1.42,5.6,50.0,1,100.0,1,0.0,1.6,10.7,50.0,1,100.0,1,0.0
Attacking Closeouts,0.74,7.9,0,22.2,0.57,8.7,14.3,6,16.7,1,0.0,1.5,5.7,50.0,0,N/A,2,50.0
Catch & Shoot,1.64,8.1,0,54.5,1.64,10.9,54.5,0,N/A,11,54.5,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,2.9,0,75.0,2.0,4.0,75.0,2,50.0,2,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.68,6.4,1,33.3,0.85,5.8,50.0,4,50.0,0,N/A,0.35,8.2,0.0,1,0.0,1,0.0
Off. Rebounds,0.89,5.8,0,42.9,1.19,5.8,60.0,5,60.0,0,N/A,0.0,5.7,0.0,1,0.0,1,0.0
TOTAL,1.07,136,5.1,40.7,1.0,74.3,38.6,53,34.0,30,46.7,1.27,25.7,46.7,13,38.5,17,52.9
