,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.99,41.7,3,46.9,0.75,33.9,41.2,11,54.5,6,16.7,1.3,59.4,53.3,7,57.1,8,50.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.51,9.3,0,14.3,0.52,6.6,0.0,1,0.0,2,0.0,0.5,15.4,25.0,4,25.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.67,3.5,0,66.7,N/A,0.0,N/A,0,N/A,0,N/A,1.67,11.5,66.7,1,100.0,2,50.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,4.7,0,0.0,0.0,6.8,0.0,2,0.0,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,2.16,2.7,0,100.0,2.08,2.4,100.0,1,100.0,0,N/A,2.27,3.4,N/A,0,N/A,0,N/A
Attacking Closeouts,0.65,14.5,1,30.0,0.86,15.8,42.9,7,42.9,0,N/A,0.0,11.5,0.0,0,N/A,3,0.0
Catch & Shoot,1.42,22.4,0,47.4,1.42,32.2,47.4,0,N/A,19,47.4,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,2.4,0,0.0,0.0,3.4,0.0,0,N/A,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.98,85,4.7,39.7,0.92,69.4,37.7,22,45.5,31,32.3,1.1,30.6,44.0,12,50.0,13,38.5
