,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.4,41.1,1,66.7,1.1,35.7,55.6,6,66.7,3,33.3,1.86,53.7,83.3,3,100.0,3,66.7
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.52,9.7,0,0.0,1.06,6.7,0.0,0,N/A,1,0.0,0.0,16.7,0.0,2,0.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.67,7.5,0,66.7,N/A,0.0,N/A,0,N/A,0,N/A,1.67,25.0,66.7,1,100.0,2,50.0
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,2.5,0,0.0,0.0,3.6,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,2.08,3.6,0,100.0,2.08,5.1,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,0.67,7.5,0,33.3,1.0,7.1,50.0,2,50.0,0,N/A,0.0,8.3,0.0,0,N/A,1,0.0
Catch & Shoot,2.0,30.0,0,66.7,2.0,42.9,66.7,0,N/A,12,66.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.45,40,2.5,57.9,1.48,70.0,57.7,9,66.7,17,52.9,1.37,30.0,58.3,6,66.7,6,50.0
