,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.84,42.4,0,27.3,1.36,34.6,40.0,3,0.0,2,100.0,0.33,54.5,16.7,2,50.0,4,0.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.75,19.0,0,25.0,0.53,11.1,0.0,0,N/A,1,0.0,0.87,31.3,33.3,2,50.0,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.5,14.3,1,33.3,0.67,17.6,50.0,2,50.0,0,N/A,0.0,9.1,0.0,0,N/A,1,0.0
TRANSITION,1.0,7.1,0,50.0,1.0,11.8,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,2.0,3.6,0,100.0,2.0,5.9,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.75,14.3,0,25.0,0.75,23.5,25.0,0,N/A,4,25.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,3.0,3.6,0,100.0,N/A,0.0,N/A,0,N/A,0,N/A,3.0,9.1,100.0,0,N/A,1,100.0
TOTAL,0.89,28,3.6,34.6,1.01,60.7,40.0,8,37.5,7,42.9,0.7,39.3,27.3,4,50.0,7,14.3
