Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,28,6,16,4,0,1,57,36,12,3,4,20,18
shoot2FGM,16,3,6,1,0,0,28,24,5,3,3,15,11
shoot2FTA,8,0,0,2,2,0,15,15,4,0,0,12,11
shoot2FTM,7,0,0,2,2,0,11,12,4,0,0,9,7
shoot2TO,1,0,0,0,0,0,4,0,4,0,0,1,0
shoot3FGA,16,1,14,1,0,1,8,13,5,73,8,0,0
shoot3FGM,9,0,5,0,0,1,5,7,2,28,2,0,0
shoot3FTA,3,0,0,0,0,0,3,0,0,1,0,0,0
shoot3FTM,3,0,0,0,0,0,3,0,0,1,0,0,0
shoot3TO,0,0,0,0,0,0,1,1,0,0,0,0,0
pass2FGA,8,0,4,15,1,0,26,25,1,0,1,1,2
pass2FGM,3,0,1,6,0,0,18,17,1,0,1,0,1
pass2FTA,2,4,4,0,0,0,8,6,0,0,0,0,0
pass2FTM,2,2,4,0,0,0,7,4,0,0,0,0,0
pass2TO,4,1,0,0,0,0,7,2,1,0,2,0,0
pass3FGA,12,2,6,14,2,0,26,29,3,1,2,3,4
pass3FGM,6,1,2,5,2,0,9,11,3,0,1,1,3
pass3FTA,1,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,1,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,1,1,0,0,3,3,0,0,0,0,0
