,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.06,2.3,0,0.0,1.06,2.7,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,1.27,23.1,0,53.3,1.22,25.7,50.0,14,50.0,0,N/A,2.0,8.3,100.0,1,100.0,0,N/A
DHO Ball Handler,0.0,1.2,0,0.0,0.0,1.4,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.67,7.3,1,40.0,0.0,2.9,0.0,1,0.0,0,N/A,1.0,33.3,50.0,4,50.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.75,30.7,4,36.8,0.78,27.4,33.3,15,33.3,0,N/A,0.67,50.0,50.0,3,66.7,1,0.0
TRANSITION,1.89,9.0,0,66.7,1.84,9.3,66.7,3,66.7,0,N/A,2.27,7.3,N/A,0,N/A,0,N/A
Attacking Closeouts,1.74,3.5,0,100.0,1.74,4.1,100.0,2,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,4.9,0,50.0,1.5,5.7,50.0,0,N/A,4,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.6,14.5,0,81.8,1.56,15.5,80.0,10,80.0,0,N/A,2.0,8.3,100.0,1,100.0,0,N/A
Off. Rebounds,2.06,4.7,0,100.0,2.06,5.5,100.0,3,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.22,82,6.1,54.7,1.24,85.4,53.7,50,54.0,4,50.0,1.09,14.6,60.0,9,66.7,1,0.0
