,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.79,46.3,3,43.8,0.86,43.8,42.9,7,42.9,0,N/A,0.75,48.0,44.4,5,60.0,4,25.0
PNR Screener,0.0,2.4,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,4.0,0.0,0,N/A,1,0.0
DHO Ball Handler,0.35,7.0,0,0.0,0.53,11.8,0.0,1,0.0,0,N/A,0.0,4.0,0.0,1,0.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.67,7.3,0,33.3,0.0,6.2,0.0,1,0.0,0,N/A,1.0,8.0,50.0,1,100.0,1,0.0
TRANSITION,1.44,18.6,0,40.0,2.0,6.2,100.0,1,100.0,0,N/A,1.36,26.6,25.0,0,N/A,4,25.0
Attacking Closeouts,0.0,4.9,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,8.0,0.0,1,0.0,1,0.0
Catch & Shoot,0.86,17.1,0,28.6,1.0,37.5,33.3,0,N/A,6,33.3,0.0,4.0,0.0,0,N/A,1,0.0
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.82,41,7.3,33.3,0.89,39.0,37.5,10,40.0,6,33.3,0.78,61.0,30.0,8,50.0,12,16.7
