,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.1,41.2,0,43.8,0.67,28.6,33.3,4,50.0,2,0.0,1.33,53.9,50.0,8,37.5,2,100.0
PNR Screener,2.0,2.4,0,100.0,2.0,4.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.0,2.4,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,4.8,0.0,1,0.0,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.31,16.4,0,50.0,1.39,13.7,50.0,1,100.0,1,0.0,1.25,19.0,50.0,1,100.0,3,33.3
TRANSITION,1.02,30.4,2,44.4,0.9,42.3,42.9,6,50.0,1,0.0,1.29,18.5,50.0,0,N/A,2,50.0
Attacking Closeouts,0.0,2.4,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,4.8,0.0,1,0.0,0,N/A
Catch & Shoot,0.0,4.8,0,0.0,0.0,9.5,0.0,0,N/A,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,2.4,0,100.0,2.0,4.8,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.05,42,4.8,43.2,0.92,50.0,42.1,13,61.5,6,0.0,1.18,50.0,44.4,11,36.4,7,57.1
