Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,7,2,3,2,0,1,13,7,2,0,1,6,2
shoot2FGM,4,1,1,1,0,0,4,5,2,0,1,5,2
shoot2FTA,2,0,0,0,0,0,5,2,2,0,0,2,4
shoot2FTM,2,0,0,0,0,0,3,2,2,0,0,1,2
shoot2TO,0,0,0,0,0,0,0,0,1,0,0,0,0
shoot3FGA,6,0,2,0,0,0,0,5,4,21,3,0,0
shoot3FGM,4,0,0,0,0,0,0,3,2,9,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,3,0,2,2,1,0,3,6,1,0,0,0,0
pass2FGM,1,0,1,1,0,0,3,4,1,0,0,0,0
pass2FTA,2,2,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,2,1,0,0,0,0,0,2,0,0,0,0,0
pass2TO,0,0,0,0,0,0,3,0,0,0,0,0,0
pass3FGA,4,0,2,2,1,0,7,7,1,0,1,1,1
pass3FGM,2,0,1,0,1,0,1,4,1,0,0,1,1
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,1,0,0,0,0,0,0,0,0,0
