,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.21,1.31,0.87,N/A,1.29,1.21,1.16,1.55,1.8,1.5,N/A,N/A,1.22
% of Poss.,13.2%,10.6%,3.9%,0.0%,5.7%,57.1%,6.2%,1.3%,1.3%,0.5%,0.0%,0.0%,385
Total FG%,59.5%,66.7%,46.2%,N/A,52.6%,49.6%,50.0%,66.7%,60.0%,50.0%,N/A,N/A,53.4%
Shooting PPP,1.22,1.48,0.93,N/A,1.31,1.16,1.28,1.55,1.8,0.0,N/A,N/A,1.21
% of Shooting Poss.,12.2%,9.0%,5.0%,0.0%,2.9%,61.9%,5.0%,1.8%,1.8%,0.4%,0.0%,0.0%,72.2% | 179
Shooting FG%,65.2%,76.5%,50.0%,N/A,50.0%,47.6%,55.6%,66.7%,60.0%,0.0%,N/A,N/A,53.6%
Shooting 2pt Att.,18,13,6,0,3,77,6,3,0,0,0,0,126
Shooting 2pt FG%,61.1%,92.3%,83.3%,N/A,66.7%,51.9%,66.7%,66.7%,N/A,N/A,N/A,N/A,60.3%
Shooting 3pt Att.,5,4,6,0,3,26,3,0,5,1,0,0,53
Shooting 3pt FG%,80.0%,25.0%,16.7%,N/A,33.3%,34.6%,33.3%,N/A,60.0%,0.0%,N/A,N/A,37.7%
Passing PPP,1.2,1.08,0.0,N/A,1.29,1.37,1.01,N/A,N/A,3.0,N/A,N/A,1.26
% of Passing Poss.,15.9%,15.0%,0.9%,0.0%,13.1%,44.9%,9.3%,0.0%,0.0%,0.9%,0.0%,0.0%,27.8% | 87
Passing FG%,50.0%,53.8%,0.0%,N/A,53.8%,55.3%,42.9%,N/A,N/A,100.0%,N/A,N/A,52.9%
Passing 2pt Att.,4,7,0,0,4,6,3,0,0,0,0,0,24
Passing 2pt FG%,75.0%,100.0%,N/A,N/A,75.0%,83.3%,66.7%,N/A,N/A,N/A,N/A,N/A,83.3%
Passing 3pt Att.,10,6,1,0,9,32,4,0,0,1,0,0,63
Passing 3pt FG%,40.0%,0.0%,0.0%,N/A,44.4%,50.0%,25.0%,N/A,N/A,100.0%,N/A,N/A,41.3%
