,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
POWELL,0.67,13.0%,2,50.0%,0.0,6.9%,1,0.0%,1,0.0%,0,N/A,1.0,23.5%,1,66.7%,2,100.0%,1,0.0%
WOOD,0.53,4.1%,1,N/A,1.14,3.0%,0,N/A,0,N/A,0,N/A,0.0,5.9%,1,N/A,0,N/A,0,N/A
KLEBER,1.33,6.5%,0,66.7%,2.0,6.9%,0,100.0%,2,100.0%,0,N/A,0.0,5.9%,0,0.0%,0,N/A,1,0.0%
MCGEE,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,1.0,6.5%,0,33.3%,1.0,10.3%,0,33.3%,0,N/A,3,33.3%,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.92,49.5%,2,36.8%,0.72,57.8%,2,30.8%,7,42.9%,6,16.7%,1.5,35.3%,0,50.0%,1,0.0%,5,60.0%
Transition,1.02,12.8%,2,66.7%,0.0,3.4%,0,0.0%,1,0.0%,0,N/A,1.23,28.7%,2,100.0%,2,100.0%,0,N/A
Attacking Closeouts,3.0,4.3%,0,100.0%,3.0,3.4%,0,100.0%,0,N/A,1,100.0%,3.0,5.9%,0,100.0%,0,N/A,1,100.0%
Catch & Shoot,3.0,2.2%,0,100.0%,3.0,3.4%,0,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.14,1.9%,0,N/A,1.14,3.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,2.2%,0,100.0%,2.0,3.4%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,0.92,28.3%,3,50.0%,1.14,53.8%,1,50.0%,3,66.7%,3,33.3%,1,46.2%,2,50.0%,2,100.0%,2,0.0%
TOTAL,1.08,46,7,50.0%,0.98,63.0%,3,43.5%,12,50.0%,11,36.4%,1.23,37.0%,4,61.5%,5,80.0%,8,50.0%
