,POWELL,WOOD,KLEBER,MCGEE,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,0.83,0.0,N/A,1.02,N/A,0.92,1.5,1.0,1.5,2.0,N/A,2.0,0.99
% of Poss.,12.0%,4.0%,0.0%,16.0%,0.0%,50.0%,4.0%,6.0%,4.0%,2.0%,0.0%,2.0%,50
Total FG%,40.0%,0.0%,N/A,33.3%,N/A,42.1%,50.0%,50.0%,50.0%,100.0%,N/A,100.0%,43.6%
Shooting PPP,N/A,N/A,N/A,0.0,N/A,1.14,N/A,N/A,1.5,2.0,N/A,2.0,1.15
% of Shooting Poss.,0.0%,0.0%,0.0%,8.3%,0.0%,75.0%,0.0%,0.0%,8.3%,4.2%,0.0%,4.2%,48.0% | 19
Shooting FG%,N/A,N/A,N/A,0.0%,N/A,53.8%,N/A,N/A,50.0%,100.0%,N/A,100.0%,52.6%
Shooting 2pt Att.,0,0,0,0,0,8,0,0,0,1,0,1,10
Shooting 2pt FG%,N/A,N/A,N/A,N/A,N/A,75.0%,N/A,N/A,N/A,100.0%,N/A,100.0%,80.0%
Shooting 3pt Att.,0,0,0,2,0,5,0,0,2,0,0,0,9
Shooting 3pt FG%,N/A,N/A,N/A,0.0%,N/A,20.0%,N/A,N/A,50.0%,N/A,N/A,N/A,22.2%
Passing PPP,0.83,0.0,N/A,1.43,N/A,0.43,1.5,1.0,N/A,N/A,N/A,N/A,0.84
% of Passing Poss.,23.1%,7.7%,0.0%,23.1%,0.0%,26.9%,7.7%,11.5%,0.0%,0.0%,0.0%,0.0%,52.0% | 20
Passing FG%,40.0%,0.0%,N/A,50.0%,N/A,16.7%,50.0%,50.0%,N/A,N/A,N/A,N/A,35.0%
Passing 2pt Att.,1,0,0,2,0,1,0,0,0,0,0,0,4
Passing 2pt FG%,100.0%,N/A,N/A,50.0%,N/A,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,50.0%
Passing 3pt Att.,4,1,0,2,0,5,2,2,0,0,0,0,16
Passing 3pt FG%,25.0%,0.0%,N/A,50.0%,N/A,20.0%,50.0%,50.0%,N/A,N/A,N/A,N/A,31.2%
