,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
CLAXTON,1.04,24.5%,45.8%,0.64,19.4%,22.2%,5,20.0%,4,25.0%,1.29,29.3%,60.0%,6,83.3%,9,44.4%
JOHNSON,1.55,3.4%,100.0%,1.39,5.1%,100.0%,1,100.0%,0,N/A,2.0,1.7%,100.0%,1,100.0%,0,N/A
SHARPE,0.0,0.9%,0.0%,0.0,1.8%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
FINNEY-SMITH,1.38,7.0%,50.0%,1.6,8.9%,60.0%,1,100.0%,4,50.0%,1.0,5.2%,33.3%,0,N/A,3,33.3%
OTHERS,0.87,6.0%,33.3%,2.0,1.8%,100.0%,1,100.0%,0,N/A,0.68,10.1%,20.0%,2,0.0%,3,33.3%
ISO,1.1,30.2%,42.9%,0.98,36.4%,33.3%,8,50.0%,7,14.3%,1.29,24.1%,53.8%,6,50.0%,7,57.1%
Transition,0.83,15.8%,35.3%,1.0,8.9%,40.0%,2,50.0%,3,33.3%,0.77,22.4%,33.3%,4,50.0%,8,25.0%
Attacking Closeouts,0.0,2.6%,0.0%,0.0,1.8%,N/A,0,N/A,0,N/A,0.0,3.4%,0.0%,0,N/A,1,0.0%
Catch & Shoot,1.7,8.8%,60.0%,1.57,12.5%,57.1%,1,100.0%,6,50.0%,2.0,5.2%,66.7%,0,N/A,3,66.7%
Off Ball Screens,0.0,0.9%,0.0%,0.0,1.8%,0.0%,1,0.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,0.9%,100.0%,2.0,1.8%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,1.13,40.4%,46.3%,1.05,43.5%,41.2%,8,50.0%,9,33.3%,1,56.5%,50.0%,9,66.7%,15,40.0%
TOTAL,1.08,114,44.4%,1.05,49.1%,41.3%,21,52.4%,25,32.0%,1.1,50.9%,47.2%,19,57.9%,34,41.2%
