Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,21,0,6,0,0,0,14,7,2,0,3,3,2
shoot2FGM,13,0,3,0,0,0,4,3,1,0,2,2,1
shoot2FTA,0,0,3,0,0,0,2,4,0,0,0,0,0
shoot2FTM,0,0,2,0,0,0,2,4,0,0,0,0,0
shoot2TO,1,0,1,0,0,0,2,3,0,0,0,1,0
shoot3FGA,4,0,4,0,1,0,4,1,2,14,1,0,0
shoot3FGM,1,0,3,0,0,0,0,0,2,6,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
pass2FGA,18,0,5,1,1,0,2,6,2,0,1,0,0
pass2FGM,15,0,3,0,0,0,2,4,2,0,1,0,0
pass2FTA,5,0,4,0,0,0,2,4,0,0,0,0,0
pass2FTM,3,0,3,0,0,0,2,4,0,0,0,0,0
pass2TO,7,0,1,0,0,0,1,0,0,0,0,0,0
pass3FGA,14,0,3,0,1,0,5,9,2,0,0,0,0
pass3FGM,6,0,2,0,0,0,2,3,0,0,0,0,0
pass3FTA,0,0,0,0,0,0,3,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,3,0,0,0,0,0,0
pass3TO,2,0,0,0,0,0,0,1,0,0,0,0,0
