Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,6,0,17,0,0,0,3,19,11,1,2,11,2
shoot2FGM,4,0,10,0,0,0,0,8,7,1,1,7,1
shoot2FTA,0,0,2,0,0,0,4,14,0,0,0,4,6
shoot2FTM,0,0,1,0,0,0,3,13,0,0,0,4,0
shoot2TO,3,0,1,0,1,0,1,1,1,0,0,1,0
shoot3FGA,1,0,6,0,0,2,2,12,3,62,4,0,0
shoot3FGM,1,0,2,0,0,0,1,3,1,27,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,7,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,7,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,1,0,0,0,0
pass2FGA,4,0,2,0,0,0,7,7,0,0,1,0,0
pass2FGM,4,0,1,0,0,0,3,5,0,0,1,0,0
pass2FTA,0,0,2,0,0,0,2,0,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,1,0,0,0,0,0,0
pass2TO,0,1,0,0,0,0,0,1,1,0,0,0,0
pass3FGA,4,0,1,0,0,0,1,5,2,1,2,1,0
pass3FGM,0,0,1,0,0,0,0,4,1,1,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,1,0,0,0,0,1,0,0,0,0,0
