Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,66,2,32,0,4,0,51,16,4,0,4,10,2
shoot2FGM,40,2,14,0,2,0,28,9,1,0,2,6,1
shoot2FTA,20,0,3,0,2,0,6,15,2,0,6,0,2
shoot2FTM,19,0,3,0,1,0,6,14,2,0,5,0,2
shoot2TO,2,0,1,0,0,0,5,1,0,0,1,0,0
shoot3FGA,35,0,15,0,0,0,16,19,2,20,4,0,0
shoot3FGM,19,0,7,0,0,0,3,9,1,5,3,0,0
shoot3FTA,3,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,3,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,1,0,0,0,0,0,1,0,0,0,0,0,0
pass2FGA,26,0,12,0,4,0,23,24,1,0,0,0,0
pass2FGM,11,0,5,0,2,0,17,18,1,0,0,0,0
pass2FTA,16,0,6,0,0,0,17,4,0,0,0,0,0
pass2FTM,12,0,6,0,0,0,14,2,0,0,0,0,0
pass2TO,6,1,0,0,0,0,2,1,0,0,1,0,0
pass3FGA,31,1,8,0,2,0,17,12,0,1,1,1,2
pass3FGM,14,1,1,0,1,0,8,2,0,0,0,0,0
pass3FTA,1,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,1,0,5,0,0,0,2,1,0,0,1,0,0
