Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,47,27,7,5,4,0,117,79,48,2,4,47,21
shoot2FGM,25,18,4,4,0,0,44,61,28,0,1,25,15
shoot2FTA,10,25,3,0,2,0,26,48,13,0,6,14,11
shoot2FTM,10,21,2,0,1,0,23,34,10,0,6,11,11
shoot2TO,2,2,0,0,0,0,7,13,4,0,0,6,1
shoot3FGA,23,19,8,0,0,3,19,19,8,127,12,0,2
shoot3FGM,9,3,0,0,0,1,3,5,3,42,5,0,1
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,9,3,0,0,0,0,1,0,1,1,0,0,0
pass2FGA,22,2,3,7,0,0,18,21,5,1,0,2,2
pass2FGM,12,0,2,5,0,0,13,16,1,0,0,2,2
pass2FTA,11,0,0,3,2,0,4,14,0,0,0,0,2
pass2FTM,7,0,0,2,2,0,4,10,0,0,0,0,2
pass2TO,7,0,0,0,0,0,3,5,1,0,0,0,0
pass3FGA,19,5,3,4,3,0,19,15,9,3,0,4,10
pass3FGM,6,3,1,0,1,0,7,4,5,1,0,1,2
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,4,0,0,1,0,0,5,1,3,0,0,1,1
