Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,14,0,1,0,0,0,3,11,0,0,2,2,2
shoot2FGM,10,0,1,0,0,0,0,6,0,0,2,1,2
shoot2FTA,4,2,0,0,0,0,2,6,0,0,0,6,0
shoot2FTM,4,1,0,0,0,0,2,6,0,0,0,5,0
shoot2TO,1,0,0,0,0,0,0,1,1,0,0,2,0
shoot3FGA,1,0,0,0,0,0,0,0,0,11,1,0,0
shoot3FGM,0,0,0,0,0,0,0,0,0,4,0,0,0
shoot3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
shoot3TO,0,0,0,0,0,0,0,0,0,0,1,0,0
pass2FGA,2,0,0,0,0,0,1,4,0,0,0,0,0
pass2FGM,2,0,0,0,0,0,0,3,0,0,0,0,0
pass2FTA,0,0,0,0,0,0,0,2,0,0,0,0,0
pass2FTM,0,0,0,0,0,0,0,2,0,0,0,0,0
pass2TO,0,0,0,0,0,1,2,0,0,0,0,0,0
pass3FGA,3,0,1,0,0,0,3,5,1,0,0,2,0
pass3FGM,2,0,0,0,0,0,1,3,1,0,0,0,0
pass3FTA,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3FTM,0,0,0,0,0,0,0,0,0,0,0,0,0
pass3TO,0,0,0,0,0,0,0,0,0,0,0,0,0
