Shot Type,PNR BH,PNR SC,DHO BH,DHO SC,DBL BH,DBL SC,ISO,TRAN,ACO,C/S,OBS,CUT,OREB
shoot2FGA,194,52,78,23,4,5,332,174,63,3,50,182,87
shoot2FGM,111,36,36,13,2,2,170,112,34,2,26,128,53
shoot2FTA,33,22,16,8,2,2,104,117,38,0,20,86,33
shoot2FTM,30,18,13,8,1,2,83,102,28,0,15,63,23
shoot2TO,11,4,11,0,2,0,45,17,9,0,4,9,0
shoot3FGA,56,22,47,11,1,5,61,58,22,348,27,0,1
shoot3FGM,26,11,16,5,0,1,19,22,9,129,10,0,0
shoot3FTA,3,0,0,9,0,0,3,0,0,10,2,0,0
shoot3FTM,3,0,0,9,0,0,3,0,0,10,1,0,0
shoot3TO,8,0,0,0,0,0,3,0,1,0,1,0,0
pass2FGA,84,22,26,68,6,3,126,96,19,2,7,7,9
pass2FGM,58,17,14,32,3,3,93,68,16,2,6,5,7
pass2FTA,34,5,14,17,2,0,69,48,12,0,0,0,2
pass2FTM,22,3,11,15,2,0,56,40,7,0,0,0,2
pass2TO,20,13,4,1,0,1,28,7,2,2,3,2,1
pass3FGA,87,11,20,50,6,0,130,118,25,2,9,15,16
pass3FGM,32,4,7,17,2,0,48,50,12,1,1,9,8
pass3FTA,2,0,9,0,0,0,10,0,0,0,0,0,0
pass3FTM,1,0,9,0,0,0,10,0,0,0,0,0,0
pass3TO,7,1,5,2,0,0,14,6,0,1,4,2,0
