,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.21,13.7,16,52.5,1.25,13.2,54.2,111,54.1,42,54.8,1.14,14.6,49.4,43,58.1,46,41.3
PNR Screener,1.23,4.2,11,60.6,1.3,4.2,56.2,35,57.1,13,53.8,1.09,4.1,72.2,10,90.0,8,50.0
DHO Ball Handler,0.93,6.2,8,40.4,1.0,7.1,42.5,53,47.2,34,35.3,0.72,4.7,33.3,15,40.0,12,25.0
DHO Screener,1.04,5.1,2,43.9,0.79,1.4,33.3,14,35.7,4,25.0,1.1,11.8,46.2,46,52.2,34,38.2
DBL Ball Handler,1.21,0.8,2,58.3,0.73,0.5,50.0,4,50.0,0,N/A,1.58,1.2,62.5,5,60.0,3,66.7
DBL Screener,1.14,0.4,1,50.0,1.31,0.5,50.0,4,50.0,2,50.0,0.0,0.1,N/A,0,N/A,0,N/A
ISOLATION,1.1,25.1,53,51.6,1.07,21.5,50.2,192,52.1,41,41.5,1.13,31.7,53.3,97,67.0,85,37.6
TRANSITION,1.35,17.6,20,58.7,1.37,14.8,60.2,114,66.7,47,44.7,1.31,22.8,56.9,70,72.9,74,41.9
Attacking Closeouts,0.99,3.9,11,45.0,0.97,4.4,43.9,30,46.7,11,36.4,1.05,2.9,47.4,8,62.5,11,36.4
Catch & Shoot,1.05,9.6,0,35.4,1.04,14.7,34.9,3,66.7,192,34.4,1.67,0.4,66.7,1,100.0,2,50.0
Off Ball Screens,1.06,3.6,9,46.4,1.15,4.7,47.9,24,54.2,24,41.7,0.58,1.6,37.5,3,66.7,5,20.0
Cutting,1.31,6.2,7,65.0,1.36,8.5,66.7,93,66.7,0,N/A,0.93,1.9,50.0,3,66.7,7,42.9
Off. Rebounds,1.28,3.7,1,58.8,1.3,4.5,63.0,53,64.2,1,0.0,1.2,2.2,42.9,3,33.3,11,45.5
TOTAL,1.16,2065,6.8,51.0,1.17,64.5,50.6,730,56.8,411,39.4,1.14,35.5,51.8,304,63.8,298,39.6
