,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.0,3.6,0,0.0,0.0,5.0,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,3.6,0,100.0,2.0,5.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.0,7.1,1,100.0,0.0,5.0,N/A,0,N/A,0,N/A,2.0,12.5,100.0,1,100.0,0,N/A
TRANSITION,1.52,28.1,0,71.4,1.53,29.4,80.0,5,80.0,0,N/A,1.5,25.0,50.0,0,N/A,2,50.0
Attacking Closeouts,2.1,17.0,0,100.0,2.0,5.0,100.0,1,100.0,0,N/A,2.13,47.0,100.0,0,N/A,2,100.0
Catch & Shoot,0.0,3.6,0,0.0,0.0,5.0,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.67,36.4,0,87.5,1.46,41.0,83.3,6,83.3,0,N/A,2.5,25.0,100.0,1,100.0,1,100.0
Off. Rebounds,2.13,6.7,0,100.0,2.13,9.4,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.58,28,3.6,78.3,1.38,71.4,75.0,15,80.0,1,0.0,2.05,28.6,85.7,2,100.0,5,80.0
