,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.98,25.5,2,50.0,1.14,22.8,60.0,10,60.0,0,N/A,0.6,35.7,25.0,0,N/A,4,25.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,5.9,2,0.0,0.0,3.7,0.0,1,0.0,0,N/A,0.0,14.3,0.0,1,0.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.43,10.3,3,25.0,0.75,7.4,33.3,2,0.0,1,100.0,0.0,21.4,0.0,0,N/A,1,0.0
TRANSITION,1.55,11.4,0,66.7,1.55,14.4,66.7,6,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.36,8.6,0,60.0,0.52,7.2,33.3,3,33.3,0,N/A,3.0,14.3,100.0,0,N/A,2,100.0
Catch & Shoot,1.0,26.5,0,33.3,1.0,33.3,33.3,0,N/A,18,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,1.5,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,7.1,0.0,0,N/A,1,0.0
Cutting,0.52,5.7,1,0.0,0.52,7.2,0.0,2,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.5,5.9,0,75.0,2.0,5.6,100.0,3,100.0,0,N/A,0.0,7.1,0.0,0,N/A,1,0.0
TOTAL,0.96,68,11.8,42.9,1.04,79.4,45.7,27,51.9,19,36.8,0.64,20.6,30.0,1,0.0,9,33.3
