,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,2.7,0,50.0,1.0,3.8,50.0,1,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,1.0,2.7,0,50.0,1.0,3.8,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,1.5,2.7,0,50.0,N/A,0.0,N/A,0,N/A,0,N/A,1.5,9.5,50.0,0,N/A,2,50.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.24,26.1,3,66.7,1.19,27.0,63.6,9,66.7,2,50.0,1.4,23.8,75.0,2,100.0,2,50.0
TRANSITION,1.32,18.4,0,54.5,1.05,9.0,66.7,3,66.7,0,N/A,1.46,42.3,50.0,1,100.0,7,42.9
Attacking Closeouts,0.35,3.9,0,0.0,0.53,3.5,0.0,1,0.0,0,N/A,0.0,4.8,0.0,0,N/A,1,0.0
Catch & Shoot,2.0,8.1,0,66.7,2.0,11.3,66.7,0,N/A,6,66.7,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.55,27.9,0,77.8,1.53,33.3,80.0,15,80.0,0,N/A,1.67,14.3,66.7,2,50.0,1,100.0
Off. Rebounds,1.14,9.5,0,57.1,0.8,9.4,40.0,5,40.0,0,N/A,2.0,9.5,100.0,2,100.0,0,N/A
TOTAL,1.35,74,4.1,63.1,1.31,71.6,64.4,36,66.7,9,55.6,1.46,28.4,60.0,7,85.7,13,46.2
