,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.06,7.7,3,60.0,1.1,5.3,71.4,6,66.7,1,100.0,1.0,18.2,50.0,4,100.0,4,0.0
PNR Screener,0.0,0.4,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,2.3,N/A,0,N/A,0,N/A
DHO Ball Handler,1.08,12.7,2,53.8,1.09,13.1,52.2,17,58.8,6,33.3,1.02,11.1,66.7,2,50.0,1,100.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,0.0,0.4,1,N/A,0.0,0.5,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,0.0,0.9,0,0.0,0.0,1.1,0.0,0,N/A,2,0.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.78,7.1,1,30.8,0.77,4.1,20.0,3,0.0,2,50.0,0.79,20.2,37.5,7,42.9,1,0.0
TRANSITION,1.15,22.3,3,46.5,1.0,20.1,35.5,19,42.1,12,25.0,1.57,31.8,75.0,7,71.4,5,80.0
Attacking Closeouts,1.05,8.1,3,56.2,1.06,8.4,57.1,11,63.6,3,33.3,1.0,6.8,50.0,0,N/A,2,50.0
Catch & Shoot,1.39,28.7,0,45.3,1.36,34.8,44.4,1,100.0,62,43.5,3.0,2.3,100.0,0,N/A,1,100.0
Off Ball Screens,0.44,3.8,0,22.2,0.33,3.2,16.7,2,50.0,4,0.0,0.67,6.8,33.3,1,100.0,2,0.0
Cutting,1.22,6.3,1,58.3,1.31,7.2,63.6,11,63.6,0,N/A,0.0,2.3,0.0,0,N/A,1,0.0
Off. Rebounds,0.43,2.0,0,50.0,0.43,2.4,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.11,234,6.4,47.0,1.11,81.2,45.1,72,54.2,92,38.0,1.12,18.8,55.3,21,66.7,17,41.2
