,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,2.0,0,50.0,0.67,1.9,33.3,3,33.3,0,N/A,2.0,2.5,100.0,1,100.0,0,N/A
PNR Screener,2.0,0.5,0,100.0,2.0,0.6,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.97,13.4,0,34.6,1.01,14.3,36.4,8,37.5,14,35.7,0.75,10.0,25.0,1,0.0,3,33.3
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.59,9.7,0,68.4,1.56,8.4,69.2,10,70.0,3,66.7,1.67,15.0,66.7,2,100.0,4,50.0
TRANSITION,1.18,25.0,2,46.7,1.23,18.2,44.4,12,33.3,15,53.3,1.1,52.2,50.0,6,100.0,12,25.0
Attacking Closeouts,0.81,9.8,2,33.3,0.7,9.8,27.3,5,40.0,6,16.7,1.25,10.0,50.0,3,33.3,1,100.0
Catch & Shoot,1.34,19.0,0,47.4,1.32,23.1,45.9,2,100.0,35,42.9,2.0,2.5,100.0,1,100.0,0,N/A
Off Ball Screens,1.08,13.4,1,41.7,1.17,15.5,45.5,8,50.0,14,42.9,0.0,5.0,0.0,1,0.0,1,0.0
Cutting,1.72,5.2,0,80.0,1.59,5.9,77.8,9,77.8,0,N/A,3.0,2.5,100.0,0,N/A,1,100.0
Off. Rebounds,1.2,2.5,0,60.0,1.5,2.5,75.0,4,75.0,0,N/A,0.0,2.5,0.0,0,N/A,1,0.0
TOTAL,1.2,200,2.5,48.1,1.21,80.0,47.7,62,54.8,87,42.5,1.17,20.0,50.0,15,73.3,23,34.8
