,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.91,28.0,2,41.2,1.01,20.6,50.0,7,57.1,1,0.0,0.8,43.5,33.3,4,25.0,5,40.0
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,4.2,0,0.0,0.0,4.2,0.0,1,0.0,1,0.0,0.0,4.3,0.0,1,0.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,1.39,4.1,1,100.0,0.0,2.1,N/A,0,N/A,0,N/A,2.13,8.2,100.0,1,100.0,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.83,15.3,5,60.0,1.53,12.2,75.0,2,100.0,2,50.0,0.0,21.7,0.0,1,0.0,0,N/A
TRANSITION,1.46,27.0,1,75.0,1.45,31.7,75.0,12,75.0,0,N/A,1.5,17.4,75.0,3,100.0,1,0.0
Attacking Closeouts,2.05,3.4,0,100.0,2.08,3.0,100.0,1,100.0,0,N/A,2.0,4.3,100.0,1,100.0,0,N/A
Catch & Shoot,0.75,11.3,0,25.0,0.75,16.7,25.0,0,N/A,8,25.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.5,5.6,0,75.0,1.5,8.3,75.0,4,75.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.66,2.6,0,100.0,2.27,1.8,N/A,0,N/A,0,N/A,3.0,4.3,100.0,0,N/A,1,100.0
TOTAL,1.12,71,12.7,54.4,1.2,67.6,56.4,27,70.4,12,25.0,0.96,32.4,50.0,11,54.5,7,42.9
