,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.13,7.1,2,53.8,1.18,9.3,55.6,6,33.3,3,100.0,1.0,4.3,50.0,2,100.0,2,0.0
PNR Screener,1.25,7.9,2,61.5,1.02,8.3,37.5,6,33.3,2,50.0,1.57,7.4,100.0,4,100.0,1,100.0
DHO Ball Handler,0.0,0.5,1,N/A,0.0,0.8,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,1.32,15.4,0,53.3,0.5,3.4,25.0,4,25.0,0,N/A,1.43,30.5,57.7,16,56.2,10,60.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,2.5,0.9,0,100.0,2.5,1.7,100.0,1,100.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.07,38.7,4,47.8,1.1,39.4,50.0,27,51.9,9,44.4,1.04,37.8,45.2,16,62.5,15,26.7
TRANSITION,1.86,9.6,1,86.7,1.55,5.5,100.0,5,100.0,0,N/A,2.01,14.9,80.0,5,100.0,5,60.0
Attacking Closeouts,0.87,3.2,0,33.3,0.51,5.0,20.0,5,20.0,0,N/A,3.0,1.1,100.0,0,N/A,1,100.0
Catch & Shoot,0.6,2.4,0,20.0,0.6,4.2,20.0,0,N/A,5,20.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.05,3.6,1,25.0,1.05,6.5,25.0,3,0.0,1,100.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.33,5.3,1,66.7,1.39,7.9,62.5,8,62.5,0,N/A,1.0,2.1,100.0,1,100.0,0,N/A
Off. Rebounds,1.0,5.7,1,54.5,1.2,8.5,60.0,9,66.7,1,0.0,0.0,2.1,0.0,1,0.0,0,N/A
TOTAL,1.2,212,6.1,53.7,1.1,55.7,50.0,74,50.0,22,50.0,1.34,44.3,58.2,45,68.9,34,44.1
