,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.2,5.6,1,57.1,1.02,5.1,42.9,5,60.0,2,0.0,1.38,6.2,71.4,4,100.0,3,33.3
PNR Screener,1.23,12.0,4,59.3,1.45,13.3,64.7,12,66.7,5,60.0,0.89,10.5,50.0,5,80.0,5,20.0
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,1.0,13.0,0,44.4,0.86,4.5,42.9,6,50.0,1,0.0,1.04,23.3,44.8,16,56.2,13,30.8
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,0.0,0.4,0,0.0,0.0,0.6,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.15,38.9,12,55.7,1.15,38.2,55.1,47,55.3,2,50.0,1.16,39.8,56.4,20,75.0,19,36.8
TRANSITION,1.66,10.6,1,76.9,2.02,7.7,100.0,11,100.0,0,N/A,1.43,14.2,60.0,8,62.5,7,57.1
Attacking Closeouts,0.63,5.1,1,25.0,1.08,5.4,50.0,6,50.0,0,N/A,0.0,4.7,0.0,1,0.0,5,0.0
Catch & Shoot,1.5,2.8,0,50.0,1.5,5.2,50.0,0,N/A,8,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.64,1.7,1,100.0,1.64,3.1,100.0,3,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.48,4.8,1,77.8,1.6,8.1,77.8,9,77.8,0,N/A,0.0,0.8,N/A,0,N/A,0,N/A
Off. Rebounds,1.37,5.2,0,66.7,1.31,8.9,66.7,12,66.7,0,N/A,2.27,0.7,N/A,0,N/A,0,N/A
TOTAL,1.21,283,7.4,56.8,1.31,54.8,61.5,112,64.3,18,44.4,1.1,45.2,50.9,54,68.5,52,32.7
