,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.19,13.9,21,52.7,1.22,13.1,54.3,127,55.1,46,52.2,1.14,15.2,50.0,49,61.2,55,40.0
PNR Screener,1.26,4.1,13,63.0,1.34,4.2,58.5,38,60.5,15,53.3,1.11,4.0,75.0,12,91.7,8,50.0
DHO Ball Handler,0.93,6.3,11,40.5,0.95,6.9,41.1,58,46.6,37,32.4,0.88,5.1,38.7,17,47.1,14,28.6
DHO Screener,1.03,5.2,2,42.3,1.08,1.7,40.9,16,43.8,6,33.3,1.02,11.6,42.7,51,49.0,38,34.2
DBL Ball Handler,1.13,0.7,2,53.8,0.73,0.5,50.0,4,50.0,0,N/A,1.42,1.2,55.6,5,60.0,4,50.0
DBL Screener,1.11,0.4,1,50.0,1.14,0.5,42.9,4,50.0,3,33.3,1.0,0.2,100.0,1,100.0,0,N/A
ISOLATION,1.1,24.9,60,51.4,1.06,21.7,49.8,221,52.5,46,37.0,1.15,30.8,53.6,101,68.3,95,37.9
TRANSITION,1.36,17.1,21,58.7,1.36,14.2,59.8,126,65.9,48,43.8,1.35,22.2,57.6,76,72.4,82,43.9
Attacking Closeouts,1.07,4.1,11,47.9,1.01,4.5,44.9,35,48.6,14,35.7,1.23,3.3,54.2,10,70.0,14,42.9
Catch & Shoot,1.11,9.9,0,37.1,1.1,15.1,36.7,3,66.7,223,36.3,1.67,0.4,66.7,1,100.0,2,50.0
Off Ball Screens,1.04,3.6,10,46.9,1.14,4.5,48.1,29,55.2,25,40.0,0.6,1.8,40.0,4,75.0,6,16.7
Cutting,1.33,6.4,9,66.4,1.36,8.9,67.6,108,67.6,0,N/A,1.07,1.8,54.5,3,66.7,8,50.0
Off. Rebounds,1.32,3.6,1,61.3,1.3,4.3,63.8,57,64.9,1,0.0,1.38,2.3,52.9,5,60.0,12,50.0
TOTAL,1.17,2336,6.9,51.4,1.17,64.8,50.9,826,57.5,464,39.0,1.16,35.2,52.5,335,65.1,338,39.9
