,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.33,7.1,0,66.7,1.33,8.3,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.67,14.3,1,40.0,1.0,11.1,50.0,3,66.7,1,0.0,0.0,33.3,0.0,1,0.0,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.14,2.1,0,N/A,1.14,2.4,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,1.0,19.0,1,42.9,0.6,13.9,20.0,2,0.0,3,33.3,1.67,50.0,100.0,1,100.0,1,100.0
Attacking Closeouts,1.17,14.3,1,60.0,1.17,16.7,60.0,3,66.7,2,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.5,33.3,0,50.0,1.5,38.9,50.0,0,N/A,14,50.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.0,4.8,0,50.0,2.0,2.8,100.0,1,100.0,0,N/A,0.0,16.7,0.0,0,N/A,1,0.0
Cutting,1.33,7.1,0,66.7,1.33,8.3,66.7,3,66.7,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,1.19,42,7.1,51.3,1.25,85.7,51.4,15,60.0,20,45.0,0.83,14.3,50.0,2,50.0,2,50.0
