,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.26,9.9,0,0.0,0.0,10.3,0.0,2,0.0,1,0.0,1.14,8.8,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,2.0,2.6,0,100.0,2.0,3.4,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.67,7.7,1,50.0,1.0,6.9,100.0,1,100.0,0,N/A,0.0,10.0,0.0,0,N/A,1,0.0
TRANSITION,1.29,29.8,2,71.4,1.27,27.2,66.7,6,66.7,0,N/A,1.33,37.6,100.0,1,100.0,0,N/A
Attacking Closeouts,0.0,5.1,2,N/A,0.0,3.4,N/A,0,N/A,0,N/A,0.0,10.0,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,15.4,0,33.3,1.0,20.7,33.3,0,N/A,6,33.3,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.39,27.6,1,62.5,1.16,26.8,50.0,6,50.0,0,N/A,2.0,30.0,100.0,0,N/A,2,100.0
Off. Rebounds,1.5,5.1,0,50.0,0.0,3.4,0.0,1,0.0,0,N/A,3.0,10.0,100.0,0,N/A,1,100.0
TOTAL,1.09,39,15.4,51.7,0.98,74.4,45.8,17,52.9,7,28.6,1.41,25.6,80.0,1,100.0,4,75.0
