,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.16,23.5,5,54.9,1.11,22.3,57.6,31,61.3,2,0.0,1.26,26.4,50.0,6,50.0,12,50.0
PNR Screener,1.14,0.4,0,N/A,1.14,0.5,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.18,4.4,3,12.5,0.29,3.9,16.7,5,20.0,1,0.0,0.0,5.6,0.0,1,0.0,1,0.0
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,2.08,2.3,1,100.0,1.06,1.1,N/A,0,N/A,0,N/A,2.58,5.4,100.0,1,100.0,2,100.0
DBL Screener,0.0,0.4,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,1.4,N/A,0,N/A,0,N/A
ISOLATION,0.59,13.5,11,28.6,0.86,7.2,30.0,8,25.0,2,50.0,0.43,29.2,27.3,5,0.0,6,50.0
TRANSITION,1.47,25.3,2,67.3,1.41,25.4,68.4,36,69.4,2,50.0,1.62,24.8,64.7,7,85.7,10,50.0
Attacking Closeouts,1.64,2.9,1,80.0,1.32,3.0,66.7,3,66.7,0,N/A,2.5,2.8,100.0,1,100.0,1,100.0
Catch & Shoot,1.14,14.8,0,37.8,1.14,20.8,37.8,0,N/A,37,37.8,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.0,1.6,1,66.7,1.0,2.2,66.7,2,100.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.27,8.2,3,61.5,1.32,9.8,70.0,10,70.0,0,N/A,1.0,4.2,33.3,0,N/A,3,33.3
Off. Rebounds,1.9,3.2,0,85.7,1.74,3.9,83.3,6,83.3,0,N/A,3.0,1.4,100.0,0,N/A,1,100.0
TOTAL,1.18,250,11.2,53.7,1.19,71.2,54.1,101,62.4,45,35.6,1.14,28.8,52.6,21,52.4,36,52.8
