,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.03,3.2,0,42.9,0.87,3.6,33.3,6,33.3,0,N/A,1.6,2.2,100.0,1,100.0,0,N/A
PNR Screener,1.21,5.4,2,66.7,1.4,6.7,66.7,11,63.6,1,100.0,0.0,2.3,N/A,0,N/A,0,N/A
DHO Ball Handler,0.69,1.0,0,0.0,0.69,1.5,0.0,1,0.0,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,0.51,4.2,1,11.1,1.06,1.0,0.0,0,N/A,1,0.0,0.4,11.5,12.5,6,16.7,2,0.0
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,1.06,0.7,0,0.0,1.06,1.0,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.23,27.3,7,58.1,1.15,24.6,55.0,33,54.5,7,57.1,1.36,33.3,63.6,10,80.0,12,50.0
TRANSITION,1.24,23.6,7,59.2,1.31,19.2,66.7,26,69.2,1,0.0,1.15,33.3,50.0,8,62.5,14,42.9
Attacking Closeouts,1.53,2.1,0,60.0,1.74,1.5,50.0,1,0.0,1,100.0,1.33,3.5,66.7,2,100.0,1,0.0
Catch & Shoot,0.97,10.8,0,33.3,0.97,15.7,33.3,2,50.0,28,32.1,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,1.6,0.7,0,100.0,1.6,1.0,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,1.37,11.6,1,75.0,1.42,16.3,75.0,24,75.0,0,N/A,0.0,1.2,N/A,0,N/A,0,N/A
Off. Rebounds,1.46,9.6,0,66.7,1.41,8.2,69.2,13,69.2,0,N/A,1.55,12.8,63.6,6,66.7,5,60.0
TOTAL,1.21,277,6.5,55.3,1.23,69.0,56.0,119,62.2,40,37.5,1.16,31.0,53.7,33,63.6,34,44.1
