,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,0.89,12.2,19,43.8,0.95,9.8,44.2,31,48.4,21,38.1,0.8,21.1,42.9,12,58.3,16,31.2
PNR Screener,1.1,6.8,4,46.8,1.08,7.6,47.5,21,76.2,19,15.8,1.29,3.8,42.9,2,0.0,5,60.0
DHO Ball Handler,0.8,2.5,0,35.0,0.61,2.4,26.7,7,57.1,8,0.0,1.4,2.7,60.0,2,100.0,3,33.3
DHO Screener,1.15,2.0,1,60.0,2.0,0.6,100.0,4,100.0,0,N/A,0.9,7.2,45.5,7,71.4,4,0.0
DBL Ball Handler,0.58,0.8,0,16.7,0.26,0.6,0.0,3,0.0,0,N/A,1.0,1.6,33.3,0,N/A,3,33.3
DBL Screener,1.0,0.4,0,33.3,1.0,0.4,33.3,0,N/A,3,33.3,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.83,20.1,15,38.6,0.77,20.3,34.5,100,38.0,19,15.8,1.08,19.2,57.7,14,71.4,12,41.7
TRANSITION,1.24,19.8,19,65.4,1.3,18.6,68.8,74,79.7,19,26.3,1.08,24.1,55.9,19,78.9,15,26.7
Attacking Closeouts,1.06,8.6,8,51.7,1.1,8.7,53.1,41,56.1,8,37.5,0.93,8.2,45.5,5,20.0,6,66.7
Catch & Shoot,0.92,13.7,1,31.0,0.93,16.8,31.2,2,0.0,110,31.8,0.75,2.2,25.0,1,0.0,3,33.3
Off Ball Screens,1.38,1.9,0,42.9,1.38,2.5,42.9,3,33.3,11,45.5,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.95,7.1,7,50.0,0.98,8.1,51.2,43,51.2,0,N/A,0.67,3.3,40.0,2,100.0,3,0.0
Off. Rebounds,1.38,4.4,2,60.0,1.61,3.7,73.7,17,76.5,2,50.0,0.93,7.0,36.4,2,100.0,9,22.2
TOTAL,1.02,855,8.9,46.3,1.03,78.5,45.8,346,56.4,220,29.1,0.98,21.5,48.3,66,66.7,79,32.9
