,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,2.0,5.3,0,100.0,2.0,8.3,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,0.0,5.3,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,14.3,0.0,0,N/A,1,0.0
DHO Ball Handler,0.0,5.3,0,0.0,0.0,8.3,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,1.68,40.8,0,66.7,1.16,36.0,33.3,3,33.3,0,N/A,2.33,49.1,100.0,2,100.0,1,100.0
TRANSITION,1.0,10.5,1,100.0,2.0,8.3,100.0,1,100.0,0,N/A,0.0,14.3,N/A,0,N/A,0,N/A
Attacking Closeouts,0.67,15.8,0,33.3,1.0,16.7,50.0,2,50.0,0,N/A,0.0,14.3,0.0,0,N/A,1,0.0
Catch & Shoot,0.0,5.3,0,0.0,0.0,8.3,0.0,0,N/A,1,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,2.0,5.3,0,100.0,2.0,8.3,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,0.53,9.9,0,0.0,1.14,7.3,N/A,0,N/A,0,N/A,0.0,14.3,0.0,0,N/A,1,0.0
TOTAL,1.12,19,5.3,50.0,1.15,63.2,50.0,9,55.6,1,0.0,1.08,36.8,50.0,2,100.0,4,25.0
