,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,0.0,5.3,0,0.0,0.0,6.2,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,10.5,1,0.0,0.0,12.5,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TRANSITION,1.39,15.2,0,50.0,1.39,18.0,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.29,20.4,0,66.7,0.69,18.0,50.0,2,50.0,0,N/A,3.0,33.3,100.0,0,N/A,1,100.0
Catch & Shoot,0.0,26.3,0,0.0,0.0,31.2,0.0,0,N/A,5,0.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,0.0,5.3,0,0.0,N/A,0.0,N/A,0,N/A,0,N/A,0.0,33.3,0.0,0,N/A,1,0.0
Cutting,0.0,5.3,0,0.0,0.0,6.2,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,1.33,15.8,0,66.7,2.0,12.5,100.0,2,100.0,0,N/A,0.0,33.3,0.0,0,N/A,1,0.0
TOTAL,0.66,19,5.3,29.4,0.6,84.2,28.6,9,44.4,5,0.0,1.0,15.8,33.3,0,nan,3,33.3
