,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
PNR Ball Handler,1.0,11.8,0,50.0,1.0,15.4,50.0,2,50.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
PNR Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DHO Screener,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Ball Handler,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
DBL Screener,0.0,5.9,1,N/A,N/A,0.0,N/A,0,N/A,0,N/A,0.0,25.0,N/A,0,N/A,0,N/A
ISOLATION,0.0,23.5,1,0.0,0.0,15.4,0.0,2,0.0,0,N/A,0.0,50.0,0.0,0,N/A,1,0.0
TRANSITION,2.33,17.6,0,100.0,2.0,15.4,100.0,2,100.0,0,N/A,3.0,25.0,100.0,0,N/A,1,100.0
Attacking Closeouts,N/A,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Catch & Shoot,0.75,23.5,0,25.0,0.75,30.8,25.0,0,N/A,4,25.0,N/A,0.0,N/A,0,N/A,0,N/A
Off Ball Screens,2.0,5.9,0,100.0,2.0,7.7,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Cutting,0.0,5.9,0,0.0,0.0,7.7,0.0,1,0.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,5.9,0,100.0,2.0,7.7,100.0,1,100.0,0,N/A,N/A,0.0,N/A,0,N/A,0,N/A
TOTAL,0.94,17,11.8,46.7,1.0,76.5,46.2,9,55.6,4,25.0,0.75,23.5,50.0,0,nan,2,50.0
